Date_ID,Full_Date,Day,Month,Quarter,Year,Weekday_Name,Is_Weekend
110,2020-04-20,20,4,2,2020,Monday,False
111,2020-04-21,21,4,2,2020,Tuesday,False
112,2020-04-22,22,4,2,2020,Wednesday,False
113,2020-04-23,23,4,2,2020,Thursday,False
114,2020-04-24,24,4,2,2020,Friday,False
115,2020-04-25,25,4,2,2020,Saturday,True
116,2020-04-26,26,4,2,2020,Sunday,True
117,2020-04-27,27,4,2,2020,Monday,False
118,2020-04-28,28,4,2,2020,Tuesday,False
119,2020-04-29,29,4,2,2020,Wednesday,False
120,2020-04-30,30,4,2,2020,Thursday,False
121,2020-05-01,1,5,2,2020,Friday,False
122,2020-05-02,2,5,2,2020,Saturday,True
123,2020-05-03,3,5,2,2020,Sunday,True
124,2020-05-04,4,5,2,2020,Monday,False
125,2020-05-05,5,5,2,2020,Tuesday,False
126,2020-05-06,6,5,2,2020,Wednesday,False
127,2020-05-07,7,5,2,2020,Thursday,False
128,2020-05-08,8,5,2,2020,Friday,False
129,2020-05-09,9,5,2,2020,Saturday,True
130,2020-05-10,10,5,2,2020,Sunday,True
131,2020-05-11,11,5,2,2020,Monday,False
132,2020-05-12,12,5,2,2020,Tuesday,False
133,2020-05-13,13,5,2,2020,Wednesday,False
134,2020-05-14,14,5,2,2020,Thursday,False
135,2020-05-15,15,5,2,2020,Friday,False
136,2020-05-16,16,5,2,2020,Saturday,True
137,2020-05-17,17,5,2,2020,Sunday,True
138,2020-05-18,18,5,2,2020,Monday,False
139,2020-05-19,19,5,2,2020,Tuesday,False
140,2020-05-20,20,5,2,2020,Wednesday,False
141,2020-05-21,21,5,2,2020,Thursday,False
142,2020-05-22,22,5,2,2020,Friday,False
143,2020-05-23,23,5,2,2020,Saturday,True
144,2020-05-24,24,5,2,2020,Sunday,True
145,2020-05-25,25,5,2,2020,Monday,False
146,2020-05-26,26,5,2,2020,Tuesday,False
147,2020-05-27,27,5,2,2020,Wednesday,False
148,2020-05-28,28,5,2,2020,Thursday,False
149,2020-05-29,29,5,2,2020,Friday,False
150,2020-05-30,30,5,2,2020,Saturday,True
151,2020-05-31,31,5,2,2020,Sunday,True
152,2020-06-01,1,6,2,2020,Monday,False
153,2020-06-02,2,6,2,2020,Tuesday,False
154,2020-06-03,3,6,2,2020,Wednesday,False
155,2020-06-04,4,6,2,2020,Thursday,False
156,2020-06-05,5,6,2,2020,Friday,False
157,2020-06-06,6,6,2,2020,Saturday,True
158,2020-06-07,7,6,2,2020,Sunday,True
159,2020-06-08,8,6,2,2020,Monday,False
160,2020-06-09,9,6,2,2020,Tuesday,False
161,2020-06-10,10,6,2,2020,Wednesday,False
162,2020-06-11,11,6,2,2020,Thursday,False
163,2020-06-12,12,6,2,2020,Friday,False
164,2020-06-13,13,6,2,2020,Saturday,True
165,2020-06-14,14,6,2,2020,Sunday,True
166,2020-06-15,15,6,2,2020,Monday,False
167,2020-06-16,16,6,2,2020,Tuesday,False
168,2020-06-17,17,6,2,2020,Wednesday,False
169,2020-06-18,18,6,2,2020,Thursday,False
170,2020-06-19,19,6,2,2020,Friday,False
171,2020-06-20,20,6,2,2020,Saturday,True
172,2020-06-21,21,6,2,2020,Sunday,True
173,2020-06-22,22,6,2,2020,Monday,False
174,2020-06-23,23,6,2,2020,Tuesday,False
175,2020-06-24,24,6,2,2020,Wednesday,False
176,2020-06-25,25,6,2,2020,Thursday,False
177,2020-06-26,26,6,2,2020,Friday,False
178,2020-06-27,27,6,2,2020,Saturday,True
179,2020-06-28,28,6,2,2020,Sunday,True
180,2020-06-29,29,6,2,2020,Monday,False
181,2020-06-30,30,6,2,2020,Tuesday,False
182,2020-07-01,1,7,3,2020,Wednesday,False
183,2020-07-02,2,7,3,2020,Thursday,False
184,2020-07-03,3,7,3,2020,Friday,False
185,2020-07-04,4,7,3,2020,Saturday,True
186,2020-07-05,5,7,3,2020,Sunday,True
187,2020-07-06,6,7,3,2020,Monday,False
188,2020-07-07,7,7,3,2020,Tuesday,False
189,2020-07-08,8,7,3,2020,Wednesday,False
190,2020-07-09,9,7,3,2020,Thursday,False
191,2020-07-10,10,7,3,2020,Friday,False
192,2020-07-11,11,7,3,2020,Saturday,True
193,2020-07-12,12,7,3,2020,Sunday,True
194,2020-07-13,13,7,3,2020,Monday,False
195,2020-07-14,14,7,3,2020,Tuesday,False
